#separator:tab
#html:true
"<span class=""cloze-inactive"" data-ordinal=""2""><b style="""">Heisenberg uncertainty principle</b></span> says we <u style="""">cannot</u>&nbsp;know a particle's <span class=""cloze"" data-cloze=""position"" data-ordinal=""1"">[...]</span> &amp; <span class=""cloze"" data-cloze=""momentum"" data-ordinal=""1"">[...]</span> simultaneously."	"<span class=""cloze-inactive"" data-ordinal=""2""><b style="""">Heisenberg uncertainty principle</b></span> says we <u style="""">cannot</u>&nbsp;know a particle's <span class=""cloze"" data-ordinal=""1"">position</span> &amp; <span class=""cloze"" data-ordinal=""1"">momentum</span> simultaneously.
<hr>

<div style=""font-style:italic;color:gray;"">

<div>Because of this, we can only describe an electron's location with a probability function.</div><div><br></div><img src=""paste-9190c35526462964b8b8543d1a3d19d78b43b2d4.jpg""></div>"
"<b>Isotopes</b> exhibit <span class=""cloze"" data-cloze=""&lt;i&#x20;style&#x3D;&quot;&quot;&gt;the&#x20;same&lt;&#x2F;i&gt;"" data-ordinal=""1"">[the same/different]</span> <span class=""cloze-inactive"" data-ordinal=""2""><u>chemical</u></span>&nbsp;properties."	"<b>Isotopes</b> exhibit <span class=""cloze"" data-ordinal=""1""><i style="""">the same</i></span> <span class=""cloze-inactive"" data-ordinal=""2""><u>chemical</u></span>&nbsp;properties.
<hr>

<div style=""font-style:italic;color:gray;"">

<div>...since they still have the same number of valence electrons.</div><div>- Isotopes have different physical properties though, since they have different densities &amp; masses.</div><div><br></div><div><img src=""fba0d4e607bc35af1f14d038629b5f9c.png""><br></div></div>"
"An element's <span class=""cloze"" data-cloze=""&lt;b&gt;atomic&#x20;weight&lt;&#x2F;b&gt;"" data-ordinal=""1"">[...]</span> is its the <span class=""cloze-inactive"" data-ordinal=""2"">weighted&nbsp;<i>average</i></span> of all of its <span class=""cloze-inactive"" data-ordinal=""2"">existing isotopes</span>."	"An element's <span class=""cloze"" data-ordinal=""1""><b>atomic weight</b></span> is its the <span class=""cloze-inactive"" data-ordinal=""2"">weighted&nbsp;<i>average</i></span> of all of its <span class=""cloze-inactive"" data-ordinal=""2"">existing isotopes</span>.
<hr>

<div style=""font-style:italic;color:gray;"">

This is what's shown on the periodic table.</div>"
"An element's <span class=""cloze-inactive"" data-ordinal=""1""><b>atomic weight</b></span> is its the <span class=""cloze"" data-cloze=""weighted&amp;nbsp&#x3B;&lt;i&gt;average&lt;&#x2F;i&gt;"" data-ordinal=""2"">[...]</span> of all of its <span class=""cloze"" data-cloze=""existing&#x20;isotopes"" data-ordinal=""2"">[...]</span>."	"An element's <span class=""cloze-inactive"" data-ordinal=""1""><b>atomic weight</b></span> is its the <span class=""cloze"" data-ordinal=""2"">weighted&nbsp;<i>average</i></span> of all of its <span class=""cloze"" data-ordinal=""2"">existing isotopes</span>.
<hr>

<div style=""font-style:italic;color:gray;"">

This is what's shown on the periodic table.</div>"
"The most <i>abundant</i> <b>isotopes</b> are the ones with the <span class=""cloze"" data-cloze=""&lt;i&#x20;style&#x3D;&quot;&quot;&gt;longest&lt;&#x2F;i&gt;"" data-ordinal=""1"">[shortest/longest]</span> half lives."	"The most <i>abundant</i> <b>isotopes</b> are the ones with the <span class=""cloze"" data-ordinal=""1""><i style="""">longest</i></span> half lives.
<hr>

<div style=""font-style:italic;color:gray;"">

<img src=""a50511b8891ad940cf7c994b9339b429.png""></div>"
"<b>Avogadro's </b>number = <span class=""cloze"" data-cloze=""6&#x2E;02&#x20;x&#x20;10&lt;sup&gt;23&lt;&#x2F;sup&gt;"" data-ordinal=""1"">[...]</span>."	"<b>Avogadro's </b>number = <span class=""cloze"" data-ordinal=""1"">6.02 x 10<sup>23</sup></span>.
<hr>

<div style=""font-style:italic;color:gray;"">

</div>"
"Equation for the <span class=""cloze-inactive"" data-ordinal=""2""><b>energy</b></span> in a <span class=""cloze-inactive"" data-ordinal=""2""><u>photon of light</u></span> expressed using frequency:<div><br></div><div><span class=""cloze"" data-cloze=""&lt;img&#x20;src&#x3D;&quot;ad5f2b99e7cac8b289984d44d4ca9d6a&#x2E;png&quot;&gt;"" data-ordinal=""1"">[...]</span><br></div>"	"Equation for the <span class=""cloze-inactive"" data-ordinal=""2""><b>energy</b></span> in a <span class=""cloze-inactive"" data-ordinal=""2""><u>photon of light</u></span> expressed using frequency:<div><br></div><div><span class=""cloze"" data-ordinal=""1""><img src=""ad5f2b99e7cac8b289984d44d4ca9d6a.png""></span><br></div>
<hr>

<div style=""font-style:italic;color:gray;"">

<div>-&nbsp;<b>h</b> = 6.6 x 10<sup>-34</sup> Js;&nbsp;<b>f</b> = frequency</div><div>- Can also be described in terms of wavelength (E = hc/λ), since c = fλ.</div><div><br></div><div><img src=""1000px-Bohr_atom_model_English.jpg""><br></div></div>"
"Equation for the <span class=""cloze"" data-cloze=""&lt;b&gt;energy&lt;&#x2F;b&gt;"" data-ordinal=""2"">[...]</span> in a <span class=""cloze"" data-cloze=""&lt;u&gt;photon&#x20;of&#x20;light&lt;&#x2F;u&gt;"" data-ordinal=""2"">[...]</span> expressed using frequency:<div><br></div><div><span class=""cloze-inactive"" data-ordinal=""1""><img src=""ad5f2b99e7cac8b289984d44d4ca9d6a.png""></span><br></div>"	"Equation for the <span class=""cloze"" data-ordinal=""2""><b>energy</b></span> in a <span class=""cloze"" data-ordinal=""2""><u>photon of light</u></span> expressed using frequency:<div><br></div><div><span class=""cloze-inactive"" data-ordinal=""1""><img src=""ad5f2b99e7cac8b289984d44d4ca9d6a.png""></span><br></div>
<hr>

<div style=""font-style:italic;color:gray;"">

<div>-&nbsp;<b>h</b> = 6.6 x 10<sup>-34</sup> Js;&nbsp;<b>f</b> = frequency</div><div>- Can also be described in terms of wavelength (E = hc/λ), since c = fλ.</div><div><br></div><div><img src=""1000px-Bohr_atom_model_English.jpg""><br></div></div>"
"<div><b>Planck's constant</b>&nbsp;<b>(h) </b>= <span class=""cloze"" data-cloze=""6&#x2E;6&#x20;x&#x20;10&lt;sup&gt;&#x2D;34&lt;&#x2F;sup&gt;"" data-ordinal=""1"">[...]</span>&nbsp;Js.</div>"	"<div><b>Planck's constant</b>&nbsp;<b>(h) </b>= <span class=""cloze"" data-ordinal=""1"">6.6 x 10<sup>-34</sup></span>&nbsp;Js.</div>
<hr>

<div style=""font-style:italic;color:gray;"">

<div>Can be used to describe the <b><i><u>energy</u></i></b> in a <b>photon of <i>light</i></b>.</div><div><br></div><div><img src=""ad5f2b99e7cac8b289984d44d4ca9d6a.png""><br></div></div>"
"Speed of light = <span class=""cloze"" data-cloze=""3&#x20;x&#x20;10&lt;sup&#x20;style&#x3D;&quot;&quot;&gt;8&lt;&#x2F;sup&gt;"" data-ordinal=""1"">[...]</span>&nbsp;m/s."	"Speed of light = <span class=""cloze"" data-ordinal=""1"">3 x 10<sup style="""">8</sup></span>&nbsp;m/s.
<hr>

<div style=""font-style:italic;color:gray;"">

c = fλ</div>"
"<div>Equation for the <span class=""cloze"" data-cloze=""&lt;b&#x20;style&#x3D;&quot;&quot;&gt;angular&#x20;momentum&lt;&#x2F;b&gt;&amp;nbsp&#x3B;of&#x20;an&#x20;&lt;u&gt;electron&lt;&#x2F;u&gt;"" data-ordinal=""1"">[...]</span> orbiting hydrogen:</div><div><br></div><span class=""cloze-inactive"" data-ordinal=""2""><img src=""8b64b9ecd1661271e5ed14cab5754567.png""></span><br><div></div>"	"<div>Equation for the <span class=""cloze"" data-ordinal=""1""><b style="""">angular momentum</b>&nbsp;of an <u>electron</u></span> orbiting hydrogen:</div><div><br></div><span class=""cloze-inactive"" data-ordinal=""2""><img src=""8b64b9ecd1661271e5ed14cab5754567.png""></span><br><div></div>
<hr>

<div style=""font-style:italic;color:gray;"">

n = principle quantum number<div>h = Planck's constant (6.6 x 10<sup>-34</sup> Js)</div></div>"
"<div>Equation for the <span class=""cloze-inactive"" data-ordinal=""1""><b style="""">angular momentum</b>&nbsp;of an <u>electron</u></span> orbiting hydrogen:</div><div><br></div><span class=""cloze"" data-cloze=""&lt;img&#x20;src&#x3D;&quot;8b64b9ecd1661271e5ed14cab5754567&#x2E;png&quot;&gt;"" data-ordinal=""2"">[...]</span><br><div></div>"	"<div>Equation for the <span class=""cloze-inactive"" data-ordinal=""1""><b style="""">angular momentum</b>&nbsp;of an <u>electron</u></span> orbiting hydrogen:</div><div><br></div><span class=""cloze"" data-ordinal=""2""><img src=""8b64b9ecd1661271e5ed14cab5754567.png""></span><br><div></div>
<hr>

<div style=""font-style:italic;color:gray;"">

n = principle quantum number<div>h = Planck's constant (6.6 x 10<sup>-34</sup> Js)</div></div>"
"<div>Equation for the <span class=""cloze-inactive"" data-ordinal=""2""><u>energy</u>&nbsp;of an <b>electron</b>&nbsp;around hydrogen</span>:</div><div><br></div><div><span class=""cloze"" data-cloze=""&lt;img&#x20;src&#x3D;&quot;dcb7116935a503404639335077441e4e&#x2E;png&quot;&gt;"" data-ordinal=""1"">[...]</span><br></div><div></div>"	"<div>Equation for the <span class=""cloze-inactive"" data-ordinal=""2""><u>energy</u>&nbsp;of an <b>electron</b>&nbsp;around hydrogen</span>:</div><div><br></div><div><span class=""cloze"" data-ordinal=""1""><img src=""dcb7116935a503404639335077441e4e.png""></span><br></div><div></div>
<hr>

<div style=""font-style:italic;color:gray;"">

- R<sub>H</sub> = 2.2 x 10<sup>-18</sup>&nbsp;J/electron<div>- n is its energy shell (principle quantum number).</div><div>- E is negative because it shows how the electron is <i>attracted </i>to the proton.</div></div>"
"<div>Equation for the <span class=""cloze"" data-cloze=""&lt;u&gt;energy&lt;&#x2F;u&gt;&amp;nbsp&#x3B;of&#x20;an&#x20;&lt;b&gt;electron&lt;&#x2F;b&gt;&amp;nbsp&#x3B;around&#x20;hydrogen"" data-ordinal=""2"">[...]</span>:</div><div><br></div><div><span class=""cloze-inactive"" data-ordinal=""1""><img src=""dcb7116935a503404639335077441e4e.png""></span><br></div><div></div>"	"<div>Equation for the <span class=""cloze"" data-ordinal=""2""><u>energy</u>&nbsp;of an <b>electron</b>&nbsp;around hydrogen</span>:</div><div><br></div><div><span class=""cloze-inactive"" data-ordinal=""1""><img src=""dcb7116935a503404639335077441e4e.png""></span><br></div><div></div>
<hr>

<div style=""font-style:italic;color:gray;"">

- R<sub>H</sub> = 2.2 x 10<sup>-18</sup>&nbsp;J/electron<div>- n is its energy shell (principle quantum number).</div><div>- E is negative because it shows how the electron is <i>attracted </i>to the proton.</div></div>"
"<div><b>Rydberg unit of <u>energy</u></b> <b>(R<sub>H</sub>) </b>= <span class=""cloze"" data-cloze=""2&#x2E;2&#x20;x&#x20;10&lt;sup&gt;&#x2D;18&lt;&#x2F;sup&gt;"" data-ordinal=""1"">[...]</span>&nbsp;J/electron<br></div><div></div>"	"<div><b>Rydberg unit of <u>energy</u></b> <b>(R<sub>H</sub>) </b>= <span class=""cloze"" data-ordinal=""1"">2.2 x 10<sup>-18</sup></span>&nbsp;J/electron<br></div><div></div>
<hr>

<div style=""font-style:italic;color:gray;"">

<div>Used to calculate the energy of an <u style=""font-style: italic;"">electron</u> (n = priniciple quantum number).<br></div><div><br></div><div><img src=""dcb7116935a503404639335077441e4e.png""><br></div></div>"
"<div>In Bohr's model, <span class=""cloze-inactive"" data-ordinal=""2""><b style="""">shells (n)</b></span> are <span class=""cloze"" data-cloze=""discrete&#x20;energy"" data-ordinal=""1"">[...]</span> states that the electrons exist in.</div><div></div>"	"<div>In Bohr's model, <span class=""cloze-inactive"" data-ordinal=""2""><b style="""">shells (n)</b></span> are <span class=""cloze"" data-ordinal=""1"">discrete energy</span> states that the electrons exist in.</div><div></div>
<hr>

<div style=""font-style:italic;color:gray;"">

<div>Can <i>only </i>be at n=1, n=2, or n=3 in this example (can never be n=1.5). <i>Discrete</i>.</div><div><br></div><div><img src=""06e83ec38d67f1f9d40228fa14829d79.png""><br></div></div>"
"<div>In Bohr's model, <span class=""cloze"" data-cloze=""&lt;b&#x20;style&#x3D;&quot;&quot;&gt;shells&#x20;&#x28;n&#x29;&lt;&#x2F;b&gt;"" data-ordinal=""2"">[...]</span> are <span class=""cloze-inactive"" data-ordinal=""1"">discrete energy</span> states that the electrons exist in.</div><div></div>"	"<div>In Bohr's model, <span class=""cloze"" data-ordinal=""2""><b style="""">shells (n)</b></span> are <span class=""cloze-inactive"" data-ordinal=""1"">discrete energy</span> states that the electrons exist in.</div><div></div>
<hr>

<div style=""font-style:italic;color:gray;"">

<div>Can <i>only </i>be at n=1, n=2, or n=3 in this example (can never be n=1.5). <i>Discrete</i>.</div><div><br></div><div><img src=""06e83ec38d67f1f9d40228fa14829d79.png""><br></div></div>"
"<div>Could an <b>electron </b>ever <i>jump </i>from n=1 to n=1.5?</div><div><br></div><div><span class=""cloze"" data-cloze=""&lt;b&gt;&lt;i&gt;&lt;u&gt;No&lt;&#x2F;u&gt;&lt;&#x2F;i&gt;&lt;&#x2F;b&gt;&#x20;&#x2D;&#x20;they&#x20;&lt;i&gt;cannot&#x20;&lt;&#x2F;i&gt;&quot;half&#x20;jump&quot;&#x20;between&#x20;orbitals&#x2E;"" data-ordinal=""1"">[...]</span></div><div></div>"	"<div>Could an <b>electron </b>ever <i>jump </i>from n=1 to n=1.5?</div><div><br></div><div><span class=""cloze"" data-ordinal=""1""><b><i><u>No</u></i></b> - they <i>cannot </i>""half jump"" between orbitals.</span></div><div></div>
<hr>

<div style=""font-style:italic;color:gray;"">

<div><img src=""06e83ec38d67f1f9d40228fa14829d79.png""><br></div></div>"
"<div>When an electron is in its <span class=""cloze"" data-cloze=""&lt;i&#x20;style&#x3D;&quot;&quot;&gt;lowest&lt;&#x2F;i&gt;"" data-ordinal=""1"">[highest/lowest]</span> energy state, it's in the <span class=""cloze-inactive"" data-ordinal=""2""><b style="""">ground state</b></span>.<br></div><div></div>"	"<div>When an electron is in its <span class=""cloze"" data-ordinal=""1""><i style="""">lowest</i></span> energy state, it's in the <span class=""cloze-inactive"" data-ordinal=""2""><b style="""">ground state</b></span>.<br></div><div></div>
<hr>

<div style=""font-style:italic;color:gray;"">

<div><img src=""06e83ec38d67f1f9d40228fa14829d79.png""><br></div></div>"
"<div>When an electron is in its <span class=""cloze-inactive"" data-ordinal=""1""><i style="""">lowest</i></span> energy state, it's in the <span class=""cloze"" data-cloze=""&lt;b&#x20;style&#x3D;&quot;&quot;&gt;ground&#x20;state&lt;&#x2F;b&gt;"" data-ordinal=""2"">[...]</span>.<br></div><div></div>"	"<div>When an electron is in its <span class=""cloze-inactive"" data-ordinal=""1""><i style="""">lowest</i></span> energy state, it's in the <span class=""cloze"" data-ordinal=""2""><b style="""">ground state</b></span>.<br></div><div></div>
<hr>

<div style=""font-style:italic;color:gray;"">

<div><img src=""06e83ec38d67f1f9d40228fa14829d79.png""><br></div></div>"
"<div>Electrons move from their <span class=""cloze"" data-cloze=""&lt;b&#x20;style&#x3D;&quot;&quot;&gt;ground&#x20;state&lt;&#x2F;b&gt;"" data-ordinal=""1"">[...]</span> to their <span class=""cloze"" data-cloze=""&lt;b&#x20;style&#x3D;&quot;&quot;&gt;excited&#x20;state&lt;&#x2F;b&gt;"" data-ordinal=""1"">[...]</span> when they <span class=""cloze-inactive"" data-ordinal=""2""><i>absorb</i></span> <u>photons of light</u>.</div><div></div>"	"<div>Electrons move from their <span class=""cloze"" data-ordinal=""1""><b style="""">ground state</b></span> to their <span class=""cloze"" data-ordinal=""1""><b style="""">excited state</b></span> when they <span class=""cloze-inactive"" data-ordinal=""2""><i>absorb</i></span> <u>photons of light</u>.</div><div></div>
<hr>

<div style=""font-style:italic;color:gray;"">

<div><img src=""06e83ec38d67f1f9d40228fa14829d79.png""><br></div></div>"
"<div>Electrons move from their <span class=""cloze-inactive"" data-ordinal=""1""><b style="""">ground state</b></span> to their <span class=""cloze-inactive"" data-ordinal=""1""><b style="""">excited state</b></span> when they <span class=""cloze"" data-cloze=""&lt;i&gt;absorb&lt;&#x2F;i&gt;"" data-ordinal=""2"">[absorb/emit]</span> <u>photons of light</u>.</div><div></div>"	"<div>Electrons move from their <span class=""cloze-inactive"" data-ordinal=""1""><b style="""">ground state</b></span> to their <span class=""cloze-inactive"" data-ordinal=""1""><b style="""">excited state</b></span> when they <span class=""cloze"" data-ordinal=""2""><i>absorb</i></span> <u>photons of light</u>.</div><div></div>
<hr>

<div style=""font-style:italic;color:gray;"">

<div><img src=""06e83ec38d67f1f9d40228fa14829d79.png""><br></div></div>"
"<div>Electrons move from their <span class=""cloze"" data-cloze=""&lt;b&#x20;style&#x3D;&quot;&quot;&gt;excited&amp;nbsp&#x3B;state&lt;&#x2F;b&gt;"" data-ordinal=""1"">[...]</span> to their <span class=""cloze"" data-cloze=""&lt;b&#x20;style&#x3D;&quot;&quot;&gt;ground&amp;nbsp&#x3B;state&lt;&#x2F;b&gt;"" data-ordinal=""1"">[...]</span> when they <span class=""cloze-inactive"" data-ordinal=""2""><i>emit</i></span> photons of light.</div><div></div>"	"<div>Electrons move from their <span class=""cloze"" data-ordinal=""1""><b style="""">excited&nbsp;state</b></span> to their <span class=""cloze"" data-ordinal=""1""><b style="""">ground&nbsp;state</b></span> when they <span class=""cloze-inactive"" data-ordinal=""2""><i>emit</i></span> photons of light.</div><div></div>
<hr>

<div style=""font-style:italic;color:gray;"">

<div><img src=""06e83ec38d67f1f9d40228fa14829d79.png""><br></div></div>"
"<div>Electrons move from their <span class=""cloze-inactive"" data-ordinal=""1""><b style="""">excited&nbsp;state</b></span> to their <span class=""cloze-inactive"" data-ordinal=""1""><b style="""">ground&nbsp;state</b></span> when they <span class=""cloze"" data-cloze=""&lt;i&gt;emit&lt;&#x2F;i&gt;"" data-ordinal=""2"">[absorb/emit]</span> photons of light.</div><div></div>"	"<div>Electrons move from their <span class=""cloze-inactive"" data-ordinal=""1""><b style="""">excited&nbsp;state</b></span> to their <span class=""cloze-inactive"" data-ordinal=""1""><b style="""">ground&nbsp;state</b></span> when they <span class=""cloze"" data-ordinal=""2""><i>emit</i></span> photons of light.</div><div></div>
<hr>

<div style=""font-style:italic;color:gray;"">

<div><img src=""06e83ec38d67f1f9d40228fa14829d79.png""><br></div></div>"
"<div>Equation for the <span class=""cloze-inactive"" data-ordinal=""3""><b style="""">speed of light (c)</b></span>:</div><div><br></div><div><span class=""cloze"" data-cloze=""&lt;img&#x20;src&#x3D;&quot;5b430a1945a5a336d2c04213a64cab52&#x2E;png&quot;&gt;"" data-ordinal=""2"">[...]</span></div><div></div>"	"<div>Equation for the <span class=""cloze-inactive"" data-ordinal=""3""><b style="""">speed of light (c)</b></span>:</div><div><br></div><div><span class=""cloze"" data-ordinal=""2""><img src=""5b430a1945a5a336d2c04213a64cab52.png""></span></div><div></div>
<hr>

<div style=""font-style:italic;color:gray;"">

<div>-&nbsp;<b>c</b> = speed of light (3 x 10<sup>8</sup>).</div><div>- Could be plugged in to replace f for the energy of a photon (below):</div><div><br></div><div><img src=""528d4645de60e515d5484c043d040532.png""><span style=""color: rgb(34, 34, 34);""><br></span></div></div>"
"<div>Equation for the <span class=""cloze"" data-cloze=""&lt;b&#x20;style&#x3D;&quot;&quot;&gt;speed&#x20;of&#x20;light&#x20;&#x28;c&#x29;&lt;&#x2F;b&gt;"" data-ordinal=""3"">[...]</span>:</div><div><br></div><div><span class=""cloze-inactive"" data-ordinal=""2""><img src=""5b430a1945a5a336d2c04213a64cab52.png""></span></div><div></div>"	"<div>Equation for the <span class=""cloze"" data-ordinal=""3""><b style="""">speed of light (c)</b></span>:</div><div><br></div><div><span class=""cloze-inactive"" data-ordinal=""2""><img src=""5b430a1945a5a336d2c04213a64cab52.png""></span></div><div></div>
<hr>

<div style=""font-style:italic;color:gray;"">

<div>-&nbsp;<b>c</b> = speed of light (3 x 10<sup>8</sup>).</div><div>- Could be plugged in to replace f for the energy of a photon (below):</div><div><br></div><div><img src=""528d4645de60e515d5484c043d040532.png""><span style=""color: rgb(34, 34, 34);""><br></span></div></div>"
